黑龙江省,嘉荫,2024-01-12,-31.4
内蒙古自治区,额尔古纳,2024-01-12,-29.2
黑龙江省,呼玛,2024-01-12,-28.9
黑龙江省,逊克,2024-01-12,-28.8
内蒙古自治区,图里河,2024-01-12,-28.4
黑龙江省,汤旺,2024-01-12,-28.3
内蒙古自治区,陈巴尔虎旗,2024-01-12,-27.6
黑龙江省,漠河,2024-01-12,-27.3
内蒙古自治区,牙克石,2024-01-12,-27.2
黑龙江省,五大连池,2024-01-12,-26.6
内蒙古自治区,鄂温克旗,2024-01-12,-26.6
黑龙江省,新林,2024-01-12,-26.5
内蒙古自治区,新巴尔虎左旗,2024-01-12,-26.4
黑龙江省,抚远,2024-01-12,-26.4
黑龙江省,呼中,2024-01-12,-26.4
黑龙江省,孙吴,2024-01-12,-26.4
黑龙江省,丰林,2024-01-12,-26.3
内蒙古自治区,根河,2024-01-12,-26.2
内蒙古自治区,阿尔山,2024-01-12,-26.2
内蒙古自治区,海拉尔,2024-01-12,-25.9
黑龙江省,嫩江,2024-01-12,-25.9
黑龙江省,塔河,2024-01-12,-25.1
内蒙古自治区,满洲里,2024-01-12,-25.0
黑龙江省,北安,2024-01-12,-24.7
黑龙江省,海伦,2024-01-12,-24.6
黑龙江省,黑河,2024-01-12,-24.4
黑龙江省,绥滨,2024-01-12,-24.0
内蒙古自治区,莫力达瓦旗,2024-01-12,-24.0
黑龙江省,庆安,2024-01-12,-23.6
黑龙江省,讷河,2024-01-12,-23.4
黑龙江省,绥棱,2024-01-12,-23.4
黑龙江省,兰西,2024-01-12,-23.3
黑龙江省,加格达奇,2024-01-12,-23.1
内蒙古自治区,新巴尔虎右旗,2024-01-12,-23.1
黑龙江省,铁力,2024-01-12,-23.0
内蒙古自治区,乌拉盖,2024-01-12,-23.0
黑龙江省,富锦,2024-01-12,-23.0
黑龙江省,望奎,2024-01-12,-22.9
内蒙古自治区,小二沟,2024-01-12,-22.9
内蒙古自治区,鄂伦春旗,2024-01-12,-22.7
黑龙江省,克东,2024-01-12,-22.6
黑龙江省,依安,2024-01-12,-22.6
